Parent,Child,age_ch,t,species
222,1,0,9.00025,Peromyscus_maniculatus
222,2,0,9.00025,Mus_musculus
221,3,0,12.17270627787635,Cricetulus_griseus
220,4,0,14.684269156393299,Rattus_norvegicus
219,5,0,17.062881393960126,Mesocricetus_auratus
218,6,0,19.296794616523204,Microtus_ochrogaster
217,7,0,21.407321560852616,Nannospalax_galili
216,8,0,23.38886550364161,Jaculus_jaculus
215,9,0,25.67540915844858,Dipodomys_ordii
224,10,0,5,Fukomys_damarensis
224,11,0,5,Heterocephalus_glaber
226,12,0,5.5,Chinchilla_lanigera
226,13,0,5.5,Cavia_porcellus
225,14,0,6.25,Octodon_degus
213,15,0,29.753063790812092,Erinaceus_europaeus
241,16,0,2,Equus_asinus
241,17,0,2,Equus_caballus
240,18,0,2.5,Equus_przewalskii
239,19,0,3.5,Ceratotherium_simum
238,20,0,8.625,Sus_scrofa
242,21,0,3,Marmota_marmota
242,22,0,3,Ictidomys_tridecemlineatus
243,23,0,10.49995,Tupaia_chinensis
243,24,0,10.49995,Sorex_araneus
235,25,0,14.58588375,Dasypus_novemcinctus
234,26,0,16.7863184312527,Condylura_cristata
233,27,0,18.562531632335038,Manis_javanica
249,28,0,4,Propithecus_coquereli
249,29,0,4,Microcebus_murinus
248,30,0,5.25,Otolemur_garnettii
247,31,0,9.6252,Galeopterus_variegatus
252,32,0,1.5,Camelus_bactrianus
252,33,0,1.5,Camelus_dromedarius
251,34,0,2.25002,Camelus_ferus
250,35,0,2.5,Vicugna_pacos
254,36,0,4,Leptonychotes_weddellii
254,37,0,4,Odobenus_rosmarus
258,38,0,3.5,Ursus_maritimus
258,39,0,3.5,Ailuropoda_melanoleuca
260,40,0,2.5,Acinonyx_jubatus
260,41,0,2.5,Panthera_tigris
259,42,0,3,Felis_catus
256,43,0,4.62498,Mustela_putorius
255,44,0,5.24998,Canis_lupus
262,45,0,3,Pteropus_alecto
262,46,0,3,Pteropus_vampyrus
261,47,0,4.250005,Rousettus_aegyptiacus
265,48,0,7.5,Echinops_telfairi
265,49,0,7.5,Chrysochloris_asiatica
267,50,0,6,Orycteropus_afer
267,51,0,6,Loxodonta_africana
266,52,0,7,Trichechus_manatus
263,53,0,10.875,Elephantulus_edwardii
271,54,0,4,Capra_hircus
271,55,0,4,Ovis_aries
273,56,0,3,Bison_bison
273,57,0,3,Bos_taurus
272,58,0,6.512272132292975,Bos_mutus
269,59,0,10.55938480375587,Bubalus_bubalis
268,60,0,12.092042401877936,Pantholops_hodgsonii
274,61,0,9.4999,Ochotona_princeps
274,62,0,9.4999,Oryctolagus_cuniculus
281,63,0,4,Aotus_nancymaae
281,64,0,4,Callithrix_jacchus
280,65,0,6.096239284947049,Cebus_capucinus
287,66,0,2.5,Colobus_angolensis
287,67,0,2.5,Rhinopithecus_roxellana
286,68,0,2.50001,Chlorocebus_sabaeus
291,69,0,1.5,Macaca_mulatta
291,70,0,1.5,Macaca_fascicularis
290,71,0,2.25,Papio_anubis
289,72,0,2.375025,Cercocebus_atys
288,73,0,3.854640126877986,Macaca_nemestrina
284,74,0,7.870526757192796,Rhinopithecus_bieti
283,75,0,9.823571740013822,Mandrillus_leucophaeus
296,76,0,4,Nomascus_leucogenys
296,77,0,4,Pongo_abelii
295,78,0,4,Pan_troglodytes
294,79,0,4.375005,Homo_sapiens
293,80,0,6.328609842403859,Gorilla_gorilla
292,81,0,8.075729298512565,Pan_paniscus
278,82,0,15.638167282928045,Saimiri_boliviensis
277,83,0,16.78448364146402,Carlito_syrichta
299,84,0,3,Lipotes_vexillifer
299,85,0,3,Orcinus_orca
298,86,0,5,Tursiops_truncatus
300,87,0,3.5,Balaenoptera_acutorostrata
300,88,0,3.5,Physeter_catodon
304,89,0,4.5,Myotis_brandtii
304,90,0,4.5,Myotis_lucifugus
303,91,0,7.344061485036874,Myotis_davidii
302,92,0,9.594780810553086,Eptesicus_fuscus
301,93,0,12.832818676867326,Miniopterus_natalensis
305,94,0,10,Sarcophilus_harrisii
305,95,0,10,Monodelphis_domestica
211,96,0,34.369770187257124,Ornithorhynchus_anatinus
309,97,0,5,Protobothrops_mucrosquamatus
309,98,0,5,Thamnophis_sirtalis
308,99,0,8.7501,Python_bivittatus
307,100,0,22.75005,Anolis_carolinensis
306,101,0,27.937575000000002,Gekko_japonicus
311,102,0,28,Latimeria_chalumnae
311,103,0,28,Callorhinchus_milii
313,104,0,8.5058105,Xenopus_laevis
313,105,0,8.5058105,Xenopus_tropicalis
312,106,0,24.502905249999998,Nanorana_parkeri
316,107,0,2.5,Chelonia_mydas
316,108,0,2.5,Chrysemys_picta
315,109,0,11.74995,Pelodiscus_sinensis
317,110,0,2.00001,Alligator_sinensis
317,111,0,2.00001,Alligator_mississippiensis
207,112,0,43.94665482246074,Caprimulgus_carolinensis
206,113,0,46.136105989277624,Eurypyga_helias
321,114,0,6,Tauraco_erythrolophus
321,115,0,6,Pterocles_gutturalis
331,116,0,7.5459,Esox_lucius
331,117,0,7.5459,Salmo_salar
330,118,0,15.7728,Lepisosteus_oculatus
334,119,0,8,Pygocentrus_nattereri
334,120,0,8,Astyanax_mexicanus
333,121,0,13.2502,Ictalurus_punctatus
332,122,0,21.12535,Clupea_harengus
328,123,0,25.41647315094818,Scleropages_formosus
346,124,0,4,Maylandia_zebra
346,125,0,4,Oreochromis_niloticus
345,126,0,6.261017853802619,Haplochromis_burtoni
344,127,0,8.692160578094132,Pundamilia_nyererei
343,128,0,12.174132904836895,Neolamprologus_brichardi
342,129,0,14.68086645241845,Lates_calcarifer
341,130,0,15.977826893303343,Larimichthys_crocea
340,131,0,18.514719565324793,Stegastes_partitus
339,132,0,20.825703254570488,Notothenia_coriiceps
338,133,0,22.797010674347085,Cynoglossus_semilaevis
337,134,0,24.14991175437955,Takifugu_rubripes
